,datetime,lat_dd,long_dd,location,depth_m,temp_degC,source,month,datetime_utc,dt_delta,delta_secs
58748,2008-08-31 09:50:00,43.3913,-72.0576,loon,0.5,20.91,edi.499.2,8,2008-08-31 14:50:00+00:00,0 days 00:28:22.672000,1702
58749,2008-08-31 10:00:00,43.3913,-72.0576,loon,0.5,20.94,edi.499.2,8,2008-08-31 15:00:00+00:00,0 days 00:18:22.672000,1102
58750,2008-08-31 10:10:00,43.3913,-72.0576,loon,0.5,20.94,edi.499.2,8,2008-08-31 15:10:00+00:00,0 days 00:08:22.672000,502
58751,2008-08-31 10:20:00,43.3913,-72.0576,loon,0.5,20.95,edi.499.2,8,2008-08-31 15:20:00+00:00,-1 days +23:58:22.672000,-98
58752,2008-08-31 10:30:00,43.3913,-72.0576,loon,0.5,20.97,edi.499.2,8,2008-08-31 15:30:00+00:00,-1 days +23:48:22.672000,-698
58753,2008-08-31 10:40:00,43.3913,-72.0576,loon,0.5,21.0,edi.499.2,8,2008-08-31 15:40:00+00:00,-1 days +23:38:22.672000,-1298
374420,2008-08-31 10:00:00,43.3948,-72.079,NorthSunapeeHarbor,1.5,20.64,edi.498.1,8,2008-08-31 15:00:00+00:00,0 days 00:18:22.672000,1102
406773,2008-08-31 10:00:00,43.3446,-72.0438,SouthOfTheFells,1.5,20.96,edi.498.1,8,2008-08-31 15:00:00+00:00,0 days 00:18:22.672000,1102
433880,2008-08-31 10:00:00,43.3235,-72.0411,Newbury,1.5,21.33,edi.498.1,8,2008-08-31 15:00:00+00:00,0 days 00:18:22.672000,1102
466233,2008-08-31 10:00:00,43.4096,-72.0365,HerrickCoveSouth,1.5,21.84,edi.498.1,8,2008-08-31 15:00:00+00:00,0 days 00:18:22.672000,1102
