"","collection","filter","month","variable","All missions","LS 5","LS 7","LS 8"
"48","1","none","05","rmse",1.7,1.57,1.67,1.85
"49","2","cloud","05","rmse",1.29,0.62,1.26,1.67
"50","2","freeze","05","rmse",1.63,1.71,1.53,2.06
"51","2","IQR","05","rmse",1.63,1.62,1.54,1.97
"52","2","kurtosis","05","rmse",1.3,1.22,1.31,1.34
"53","2","none","05","rmse",1.62,1.75,1.57,1.72
"54","1","none","05","bias",1.42,1.53,1.46,1.23
"55","2","cloud","05","bias",0.61,0.62,0.42,1.64
"56","2","freeze","05","bias",1.12,1.64,0.86,2.04
"57","2","IQR","05","bias",1.23,1.54,1,1.95
"58","2","kurtosis","05","bias",0.73,1.09,0.62,0.79
"59","2","none","05","bias",1.11,1.69,0.91,1.43
"60","1","none","06","n_obs",15,4,6,5
"61","2","cloud","06","n_obs",14,4,6,4
"62","2","freeze","06","n_obs",15,4,7,4
"63","2","IQR","06","n_obs",15,4,7,4
"64","2","kurtosis","06","n_obs",11,2,6,3
"65","2","none","06","n_obs",15,4,7,4
"66","1","none","06","mae",0.85,0.77,0.65,1.16
"67","2","cloud","06","mae",1.15,0.67,1.85,0.56
"68","2","freeze","06","mae",1.24,0.78,1.81,0.69
"69","2","IQR","06","mae",1.17,0.71,1.76,0.62
"70","2","kurtosis","06","mae",0.75,1.11,0.7,0.6
"71","2","none","06","mae",1.24,0.79,1.81,0.69
"72","1","none","06","rmse",1,0.88,0.73,1.32
"73","2","cloud","06","rmse",2.04,0.92,2.97,0.66
"74","2","freeze","06","rmse",1.98,1.03,2.72,0.79
"75","2","IQR","06","rmse",1.97,0.98,2.73,0.73
"76","2","kurtosis","06","rmse",0.86,1.18,0.82,0.65
"77","2","none","06","rmse",1.97,1.03,2.72,0.79
"78","1","none","06","bias",0.72,0.77,0.32,1.16
"79","2","cloud","06","bias",0.13,0.6,-0.47,0.56
"80","2","freeze","06","bias",0.34,0.78,-0.1,0.69
"81","2","IQR","06","bias",0.27,0.71,-0.18,0.62
"82","2","kurtosis","06","bias",0.75,1.11,0.7,0.6
"83","2","none","06","bias",0.35,0.79,-0.09,0.69
"84","1","none","07","n_obs",17,2,6,9
"85","2","cloud","07","n_obs",23,3,13,7
"86","2","freeze","07","n_obs",29,4,16,9
"87","2","IQR","07","n_obs",29,4,16,9
"88","2","kurtosis","07","n_obs",24,4,12,8
"89","2","none","07","n_obs",29,4,16,9
"90","2","range","07","n_obs",10,1,2,7
"91","1","none","07","mae",0.68,0.55,0.25,1
"92","2","cloud","07","mae",0.41,0.37,0.48,0.3
"93","2","freeze","07","mae",0.42,0.32,0.48,0.37
"94","2","IQR","07","mae",0.41,0.32,0.46,0.35
"95","2","kurtosis","07","mae",0.41,0.38,0.49,0.31
"96","2","none","07","mae",0.42,0.32,0.47,0.37
"97","2","range","07","mae",0.39,0.73,0.24,0.38
"98","1","none","07","rmse",1.17,0.58,0.35,1.57
"99","2","cloud","07","rmse",0.54,0.51,0.63,0.32
"100","2","freeze","07","rmse",0.54,0.42,0.61,0.44
"101","2","IQR","07","rmse",0.52,0.45,0.59,0.41
"102","2","kurtosis","07","rmse",0.54,0.51,0.62,0.39
"103","2","none","07","rmse",0.54,0.44,0.61,0.44
"104","2","range","07","rmse",0.46,0.73,0.24,0.46
"105","1","none","07","bias",-0.16,-0.17,0.22,-0.4
"106","2","cloud","07","bias",0.13,-0.19,0.25,0.05
"107","2","freeze","07","bias",0.16,-0.1,0.23,0.16
"108","2","IQR","07","bias",0.11,-0.17,0.17,0.1
"109","2","kurtosis","07","bias",0.05,-0.31,0.21,-0.02
"110","2","none","07","bias",0.15,-0.11,0.22,0.15
"111","2","range","07","bias",0.06,-0.73,-0.24,0.25
"112","1","none","08","n_obs",15,3,9,3
"113","2","cloud","08","n_obs",23,3,14,6
"114","2","freeze","08","n_obs",29,6,16,7
"115","2","IQR","08","n_obs",28,6,16,6
"116","2","kurtosis","08","n_obs",25,4,16,5
"117","2","none","08","n_obs",29,6,16,7
"118","2","range","08","n_obs",11,2,4,5
"119","1","none","08","mae",0.9,1.38,0.67,1.08
"120","2","cloud","08","mae",0.57,0.18,0.54,0.84
"121","2","freeze","08","mae",0.8,1.58,0.53,0.73
"122","2","IQR","08","mae",0.74,1.59,0.52,0.47
"123","2","kurtosis","08","mae",0.49,0.18,0.54,0.6
"124","2","none","08","mae",0.8,1.58,0.53,0.73
"125","2","range","08","mae",0.59,1.15,0.48,0.46
"126","1","none","08","rmse",1.26,1.75,1.03,1.27
"127","2","cloud","08","rmse",0.77,0.22,0.64,1.13
"128","2","freeze","08","rmse",1.44,2.78,0.65,1.01
"129","2","IQR","08","rmse",1.41,2.82,0.64,0.51
"130","2","kurtosis","08","rmse",0.58,0.2,0.63,0.62
"131","2","none","08","rmse",1.44,2.77,0.65,1.01
"132","2","range","08","rmse",0.84,1.57,0.63,0.51
"133","1","none","08","bias",-0.44,-1.12,0,-1.08
"134","2","cloud","08","bias",-0.14,0.05,-0.03,-0.48
"135","2","freeze","08","bias",-0.35,-1.38,0.06,-0.42
"136","2","IQR","08","bias",-0.34,-1.44,0,-0.15
"137","2","kurtosis","08","bias",-0.15,-0.07,-0.11,-0.33
"138","2","none","08","bias",-0.36,-1.38,0.04,-0.43
"139","2","range","08","bias",-0.43,-1.06,-0.48,-0.14
"140","1","none","09","n_obs",23,6,11,6
"141","2","cloud","09","n_obs",23,4,13,6
"142","2","freeze","09","n_obs",32,6,18,8
"143","2","IQR","09","n_obs",30,5,18,7
"144","2","kurtosis","09","n_obs",27,4,16,7
"145","2","none","09","n_obs",32,6,18,8
"146","2","range","09","n_obs",20,4,9,7
"147","1","none","09","mae",1,1.68,0.58,1.07
"148","2","cloud","09","mae",0.73,0.95,0.67,0.71
"149","2","freeze","09","mae",1.08,1.64,0.97,0.88
"150","2","IQR","09","mae",0.89,0.82,0.99,0.67
"151","2","kurtosis","09","mae",0.67,0.6,0.69,0.68
"152","2","none","09","mae",1.07,1.63,0.97,0.87
"153","2","range","09","mae",0.6,0.78,0.46,0.68
"154","1","none","09","rmse",1.45,2.26,0.82,1.3
"155","2","cloud","09","rmse",0.93,1.13,0.83,0.99
"156","2","freeze","09","rmse",1.86,2.54,1.83,1.22
"157","2","IQR","09","rmse",1.57,0.98,1.86,0.94
"158","2","kurtosis","09","rmse",0.85,0.63,0.87,0.92
"159","2","none","09","rmse",1.85,2.53,1.82,1.21
"160","2","range","09","rmse",0.84,1,0.58,0.99
"161","1","none","09","bias",-0.52,-1.3,-0.24,-0.25
"162","2","cloud","09","bias",-0.2,-0.48,-0.42,0.45
"163","2","freeze","09","bias",-0.48,-1,-0.58,0.12
"164","2","IQR","09","bias",-0.32,-0.11,-0.65,0.39
"165","2","kurtosis","09","bias",-0.22,0.02,-0.45,0.17
"166","2","none","09","bias",-0.47,-0.98,-0.57,0.13
"167","2","range","09","bias",0.09,-0.2,-0.1,0.5
"168","1","none","10","n_obs",20,5,9,6
"169","2","cloud","10","n_obs",14,4,7,3
"170","2","freeze","10","n_obs",20,5,10,5
"171","2","IQR","10","n_obs",20,5,10,5
"172","2","kurtosis","10","n_obs",18,4,10,4
"173","2","none","10","n_obs",21,5,10,6
"174","2","range","10","n_obs",17,4,10,3
"175","1","none","10","mae",0.73,0.63,0.5,1.15
"176","2","cloud","10","mae",0.43,0.67,0.33,0.35
"177","2","freeze","10","mae",0.58,0.58,0.4,0.93
"178","2","IQR","10","mae",0.55,0.57,0.33,0.98
"179","2","kurtosis","10","mae",0.44,0.47,0.32,0.72
"180","2","none","10","mae",0.62,0.6,0.44,0.92
"181","2","range","10","mae",0.61,0.61,0.45,1.13
"182","1","none","10","rmse",0.91,0.71,0.66,1.31
"183","2","cloud","10","rmse",0.52,0.77,0.36,0.37
"184","2","freeze","10","rmse",0.9,0.77,0.49,1.48
"185","2","IQR","10","rmse",0.9,0.73,0.42,1.54
"186","2","kurtosis","10","rmse",0.54,0.54,0.33,0.85
"187","2","none","10","rmse",0.91,0.79,0.52,1.39
"188","2","range","10","rmse",0.94,0.83,0.53,1.77
"189","1","none","10","bias",-0.02,-0.11,0.38,-0.55
"190","2","cloud","10","bias",-0.08,-0.05,0.01,-0.35
"191","2","freeze","10","bias",0.05,0.31,0.37,-0.83
"192","2","IQR","10","bias",-0.04,0.21,0.28,-0.92
"193","2","kurtosis","10","bias",-0.22,0.05,-0.13,-0.72
"194","2","none","10","bias",0.04,0.35,0.41,-0.82
"195","2","range","10","bias",0.23,0.61,0.43,-0.91
"196","1","none","11","n_obs",19,2,12,5
"197","2","cloud","11","n_obs",10,2,4,4
"198","2","freeze","11","n_obs",11,2,5,4
"199","2","IQR","11","n_obs",11,2,5,4
"200","2","kurtosis","11","n_obs",10,2,7,1
"201","2","none","11","n_obs",15,2,8,5
"202","2","range","11","n_obs",10,2,4,4
"203","1","none","11","mae",1,0.66,1.25,0.54
"204","2","cloud","11","mae",0.55,0.35,0.38,0.81
"205","2","freeze","11","mae",0.66,0.5,1.08,0.21
"206","2","IQR","11","mae",0.66,0.39,1.06,0.3
"207","2","kurtosis","11","mae",0.59,0.36,0.6,1
"208","2","none","11","mae",0.76,0.58,0.99,0.47
"209","2","range","11","mae",0.7,0.58,1.29,0.17
"210","1","none","11","rmse",1.48,0.66,1.77,0.73
"211","2","cloud","11","rmse",0.6,0.37,0.4,0.82
"212","2","freeze","11","rmse",1.23,0.62,1.77,0.24
"213","2","IQR","11","rmse",1.25,0.54,1.8,0.35
"214","2","kurtosis","11","rmse",0.8,0.41,0.85,1
"215","2","none","11","rmse",1.2,0.69,1.48,0.77
"216","2","range","11","rmse",1.28,0.69,1.95,0.2
"217","1","none","11","bias",-0.62,0.03,-0.95,-0.09
"218","2","cloud","11","bias",-0.44,-0.12,-0.24,-0.81
"219","2","freeze","11","bias",-0.19,0.5,-0.47,-0.2
"220","2","IQR","11","bias",-0.3,0.39,-0.58,-0.3
"221","2","kurtosis","11","bias",-0.52,-0.2,-0.54,-1
"222","2","none","11","bias",-0.17,0.58,-0.2,-0.43
"223","2","range","11","bias",-0.17,0.58,-0.58,-0.12
